id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
44298917,FLAT AT ISTIKLAL AVENUE,357120498,,,Beyoglu,41.03373,28.98013,Entire home/apt,1441,1,0,,,2,179
44300482,TRAMVAY URBAN 1 BR APARTMENT WITH OLD-FRESCO WALL,3906966,Deniz,,Beyoglu,41.02827,28.97308,Entire home/apt,648,2,27,2021-03-19,3.54,5,70
44300655,Eşyalı studio-sabiha gökçen havalimanına çok yakın,161426254,Mehmet Ali,,Pendik,40.93138,29.30922,Entire home/apt,150,30,0,,,1,0
44302392,Cadde 1+1,237865235,Ali,,Kadikoy,40.97455,29.05515,Entire home/apt,830,2,0,,,1,89
44303813,Kristal şehir  شقة بمجمع كريستال شهير,333177589,Ossama,,Esenyurt,41.02343,28.63381,Entire home/apt,284,7,0,,,1,364
44305070,House 1,356946102,Maka,,Atasehir,40.98809,29.12811,Entire home/apt,664,1,0,,,2,0
44305297,House 2,356946102,Maka,,Atasehir,40.98899,29.14342,Entire home/apt,664,1,0,,,2,0
44305934,Sealybria villa 37/A,357297900,Veli,,Silivri,41.06946,28.1342,Entire home/apt,5275,1,0,,,1,365
44311068,2 bedroom Garden apartment opposite Blue Mosque,17285567,Deniz And Marco,,Fatih,41.00698,28.97877,Entire home/apt,356,3,3,2020-11-04,0.49,7,332
44311244,SEAVIEW  GRAND  HEAVEN  ❤️,25218166,SEAVIEW GRAND Flats,,Beyoglu,41.02911,28.9851,Entire home/apt,1542,3,10,2021-03-19,1.21,3,331
44311461,Amazing Location Double Room near Galata Tower,205503131,Okan,,Beyoglu,41.02837,28.97514,Entire home/apt,322,1,5,2021-01-04,0.63,15,361
44311622,Confortable Private Double Room near Galata Tower,205503131,Okan,,Beyoglu,41.02715,28.97393,Entire home/apt,345,1,2,2020-09-21,0.25,15,0
44311695,Spacious apartment 65 m2 near Galata Tower,205503131,Okan,,Beyoglu,41.02715,28.97393,Entire home/apt,394,1,0,,,15,365
44311737,★ High Garden ★Rooftop Terrace Apartment★ Galata ★,21587529,Özgür,,Beyoglu,41.02861,28.97307,Entire home/apt,486,3,24,2021-02-28,3.33,2,111
44311767,Cozy 2+1 Apartment in Besiktas,357381926,Seray,,Besiktas,41.04594,29.00127,Private room,250,2,0,,,1,90
44312280,Sidoma Çiftlik Evi @sidomahotel,316775940,Erencan,,Catalca,41.37333,28.20336,Entire home/apt,450,1,0,,,1,0
44312852,Topkapı Sarayı'nı Hissederek Konaklayın,188644465,Veli,,Fatih,41.00758,28.98064,Private room,1000,30,2,2020-08-09,0.24,2,364
44313298,Great sea view penthouse in Istanbul Taksim,347985660,Emre,,Beyoglu,41.03307,28.98595,Entire home/apt,343,3,18,2021-03-20,2.34,5,164
44314558,Apartment with big Terrace in Central Istanbul. 15,259032796,Ramood,,Sisli,41.05017,28.98781,Entire home/apt,499,5,0,,,13,349
44314687,Modern Apartment in Central Istanbul. 13,259032796,Ramood,,Sisli,41.05058,28.98607,Entire home/apt,566,5,0,,,13,364
44314847,Modern Apartment with Balcony in CENTRAL ISTANBUL,259032796,Ramood,,Sisli,41.05201,28.98655,Entire home/apt,566,1,0,,,13,364
44314938,Kiralik günlük 2+1daire merkezi konumda / Şişli,357425754,Kemal,,Sisli,41.05761,28.99254,Entire home/apt,216,1,0,,,2,364
44314944,Luxury Apartment in Central Istanbul. 10,259032796,Ramood,,Sisli,41.05155,28.98611,Entire home/apt,566,5,0,,,13,364
44315126,Luxury & Modern Apartment in heart of Istanbul. 5,259032796,Ramood,,Sisli,41.05047,28.9876,Entire home/apt,581,3,0,,,13,365
44316741,Şirinevler metrobüs 5 dk,357444518,Cengizhan,,Bahcelievler,40.99678,28.84151,Private room,206,1,0,,,1,365
44318120,İstanbul Airport,357458865,İsmail,,Basaksehir,41.0964,28.77157,Private room,203,1,0,,,1,90
44319152,Aytaç’s sweet home,357477438,Aytaç,,Kucukcekmece,40.98739,28.77883,Private room,90,1,0,,,2,365
44319594,(1+1) 2 KİŞİLİK KAHVALTI DAHİL DAİRE,305126162,Emin,,Pendik,40.92435,29.28975,Private room,344,1,0,,,19,357
44319630,Sweet home,321887031,Serpil,,Kagithane,41.08087,28.99849,Private room,528,1,0,,,2,365
